Construction Functors for Topological Semigroups  October 1975    https://msp.org/pjm/1975/60-2/pjm-v60-n2-p03-s.pdf
On the Automorphism Group of Certain Types of Compact Semigroups  1970    https://library.search.tulane.edu/permalink/01TUL_INST/1jgl1pd/alma9945513014506326
